dataset,n_samples,n_classes,balance_entropy,effective_rank,silhouette,davies_bouldin,calinski_harabasz,fisher_ratio
pathmnist,5000,9,0.993601471020819,57.3499755859375,0.04209759831428528,3.7789057396549097,210.44363403320312,0.33731698989868164
dermamnist,5000,7,0.5776885925561281,44.14765167236328,-0.018455754965543747,6.152140023042315,33.265960693359375,0.0399751216173172
octmnist,5000,4,0.841293738205653,51.45846176147461,0.00633022328838706,8.177489006074076,84.59329986572266,0.050796620547771454
pneumoniamnist,4708,2,0.8234983018851827,52.19195556640625,0.09348136186599731,3.2267650969583683,341.62213134765625,0.07259288430213928
retinamnist,1080,5,0.8744208622666545,20.023117065429688,0.018856970593333244,10.113990147488314,27.04100799560547,0.10061770677566528
breastmnist,546,2,0.8403586716091171,56.90912628173828,0.012662905268371105,6.624280549039915,8.939186096191406,0.016432328149676323
bloodmnist,5000,8,0.9646671359339408,49.556209564208984,0.010584830306470394,4.878300787027571,165.48854064941406,0.23205523192882538
tissuemnist,5000,8,0.8680974580584319,44.61711120605469,-0.016675584018230438,8.946021070072717,48.12635803222656,0.06748487800359726
organamnist,5000,11,0.9551470188200396,68.88280487060547,0.0122013408690691,5.455525613527433,154.84568786621094,0.3103742003440857
organcmnist,5000,11,0.953108016199483,88.85694122314453,-0.0028531074058264494,6.674389328197439,99.98170471191406,0.2004043012857437
organsmnist,5000,11,0.9274007135545088,90.64979553222656,-0.020112037658691406,9.363525374368544,75.70651245117188,0.15174685418605804
