target,n_sources,within_tau,best_source,picked_source,regret,random_regret
bloodmnist,10,0.06666666666666667,tissuemnist,pathmnist,0.01119520416951,0.012042064399259911
breastmnist,10,-0.4666666666666666,tissuemnist,bloodmnist,0.0401002506265663,0.04097744360902241
dermamnist,10,0.28888888888888886,octmnist,pathmnist,0.0238173468316458,0.0115754136408209
octmnist,10,0.1111111111111111,pathmnist,bloodmnist,0.0025919999999999,0.02010279999999998
organamnist,10,-0.1111111111111111,organcmnist,pathmnist,0.0105215848504968,0.01174664352536039
organcmnist,10,0.24444444444444444,organsmnist,pathmnist,0.0095690572970394,0.01236871443127981
organsmnist,10,-0.06666666666666667,organcmnist,pathmnist,0.0214872339017801,0.025082619833205
pathmnist,10,0.3333333333333333,bloodmnist,organamnist,0.006966963345558599,0.010229848614200178
pneumoniamnist,10,0.022222222222222223,organamnist,retinamnist,0.0322375630067939,0.03144203374972608
retinamnist,10,-0.19999999999999998,octmnist,tissuemnist,0.0750882170554926,0.041134702261105244
tissuemnist,10,0.022222222222222223,octmnist,organamnist,0.019250852175103396,0.019557416565655815
