target,n_sources,within_tau,best_source,picked_source,regret,random_regret
bloodmnist,10,0.022222222222222223,tissuemnist,pathmnist,0.011225793557776753,0.01207496771909804
breastmnist,10,-0.5111111111111111,tissuemnist,bloodmnist,0.0454868514570006,0.046481876332622483
dermamnist,10,0.022222222222222223,octmnist,pathmnist,0.026587370253114417,0.012921666316440438
octmnist,10,0.15555555555555553,pathmnist,bloodmnist,0.002814800871661527,0.021830778920848205
organamnist,10,0.06666666666666667,organcmnist,pathmnist,0.010564005281575639,0.01179400309040285
organcmnist,10,0.19999999999999998,organsmnist,pathmnist,0.009633343118259141,0.012451808610775827
organsmnist,10,-0.15555555555555553,organcmnist,pneumoniamnist,0.02986596730279978,0.02576701034156458
pathmnist,10,0.28888888888888886,bloodmnist,organamnist,0.00704588336454115,0.010345729781758784
pneumoniamnist,10,-0.022222222222222223,organamnist,retinamnist,0.03339917807597137,0.032574983538814384
retinamnist,10,-0.19999999999999998,octmnist,tissuemnist,0.10461065111735013,0.05730763301880519
tissuemnist,10,0.06666666666666667,octmnist,organamnist,0.022649853673895604,0.02301054620451618
