target,n_sources,within_tau,best_source,picked_source,regret,random_regret
bloodmnist,10,0.15555555555555553,tissuemnist,dermamnist,0.010454247235654801,0.012042064399259911
breastmnist,10,-0.1111111111111111,tissuemnist,bloodmnist,0.040100250626566414,0.0409774436090225
dermamnist,10,0.4222222222222222,octmnist,retinamnist,0.00232728004814442,0.011575413640820886
octmnist,10,-0.022222222222222223,pathmnist,bloodmnist,0.0025919999999999277,0.020102799999999966
organamnist,10,0.022222222222222223,organcmnist,pathmnist,0.010521584850496812,0.01174664352536039
organcmnist,10,0.022222222222222223,organsmnist,retinamnist,0.014493807161013228,0.012368714431279815
organsmnist,10,-0.28888888888888886,organcmnist,retinamnist,0.031764417972024006,0.025082619833204978
pathmnist,10,0.28888888888888886,bloodmnist,organamnist,0.0069669633455585744,0.010229848614200131
pneumoniamnist,10,0.24444444444444444,organamnist,retinamnist,0.03223756300679381,0.031442033749726025
retinamnist,10,-0.15555555555555553,octmnist,tissuemnist,0.07508821705549262,0.041134702261105285
tissuemnist,10,0.022222222222222223,octmnist,organamnist,0.01925085217510336,0.019557416565655805
